ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.832877896,0.832875973
16,33554432,536870912,0.817784615,0.817783227
32,16777216,536870912,0.779036831,0.779034735
64,8388608,536870912,0.712420052,0.712412159
128,4194304,536870912,0.702519659,0.702511150
256,2097152,536870912,0.537610947,0.537598407
512,1048576,536870912,0.637347822,0.637325029
1024,524288,536870912,0.696553387,0.696509745
2048,262144,536870912,0.607806483,0.607723560
4096,131072,536870912,0.614341572,0.614169702
8192,65536,536870912,0.556598707,0.556279798
16384,32768,536870912,0.512153174,0.511514081
32768,16384,536870912,0.515778666,0.514474327
65536,8192,536870912,0.507868585,0.505240381
131072,4096,536870912,0.511073354,0.505891064
262144,2048,536870912,0.520188280,0.509750061
524288,1024,536870912,0.548770117,0.527872764
1048576,512,536870912,0.629511295,0.587451357
2097152,256,536870912,0.807435204,0.723115318
4194304,128,536870912,1.019437836,0.848687592
8388608,64,536870912,1.202344227,0.860839431
16777216,32,536870912,1.579298837,0.876390722
33554432,16,536870912,2.234753812,0.866798582
67108864,8,536870912,3.584591414,0.861281921
134217728,4,536870912,6.297656088,0.859708940
268435456,2,536870912,11.792200328,0.859277583
536870912,1,536870912,57.892456825,34.680973042
