ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.832408224,0.832406602
16,33554432,536870912,0.810027938,0.810026303
32,16777216,536870912,0.768044028,0.768042387
64,8388608,536870912,0.735788559,0.735782096
128,4194304,536870912,0.712154569,0.712146021
256,2097152,536870912,0.562688808,0.562674944
512,1048576,536870912,0.533297725,0.533276172
1024,524288,536870912,0.532336937,0.532297247
2048,262144,536870912,0.578546565,0.578465607
4096,131072,536870912,0.544048649,0.543875471
8192,65536,536870912,0.534247485,0.533933873
16384,32768,536870912,0.516201926,0.515479492
32768,16384,536870912,0.510146464,0.508830297
65536,8192,536870912,0.507909547,0.505279877
131072,4096,536870912,0.508519398,0.503293417
262144,2048,536870912,0.516383553,0.505880832
524288,1024,536870912,0.549540702,0.528519083
1048576,512,536870912,0.644665125,0.602203100
2097152,256,536870912,0.848631622,0.763193598
4194304,128,536870912,1.028011361,0.855639722
8388608,64,536870912,1.234770204,0.891368213
16777216,32,536870912,1.577686407,0.887955176
33554432,16,536870912,2.267583071,0.890161824
67108864,8,536870912,3.643559855,0.890734273
134217728,4,536870912,6.389999004,0.892483927
268435456,2,536870912,11.868730539,0.880314473
536870912,1,536870912,50.453248222,27.242966181
