ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.827094708,0.827093358
16,33554432,536870912,0.824545778,0.824544484
32,16777216,536870912,0.763982254,0.763980409
64,8388608,536870912,0.722214834,0.722208567
128,4194304,536870912,0.698458753,0.698450859
256,2097152,536870912,0.543477389,0.543464572
512,1048576,536870912,0.560551641,0.560530654
1024,524288,536870912,0.520379143,0.520336267
2048,262144,536870912,0.503724744,0.503645657
4096,131072,536870912,0.518698763,0.518533645
8192,65536,536870912,0.513521017,0.513207601
16384,32768,536870912,0.509456817,0.508819368
32768,16384,536870912,0.511438474,0.510124291
65536,8192,536870912,0.506364380,0.503762784
131072,4096,536870912,0.510506950,0.505312637
262144,2048,536870912,0.517414534,0.506974312
524288,1024,536870912,0.543294508,0.522377299
1048576,512,536870912,0.625117616,0.583066469
2097152,256,536870912,0.804932760,0.720358873
4194304,128,536870912,0.990577037,0.820025353
8388608,64,536870912,1.199251518,0.856954420
16777216,32,536870912,1.551051173,0.867206849
33554432,16,536870912,2.233469363,0.870190902
67108864,8,536870912,3.593348294,0.865472176
134217728,4,536870912,6.301786462,0.858660218
268435456,2,536870912,11.742183710,0.869826397
536870912,1,536870912,48.769081361,26.685745420
