ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.999488669,0.999486632
16,33554432,536870912,0.909702783,0.909701419
32,16777216,536870912,0.903526014,0.903524112
64,8388608,536870912,0.826986968,0.826980951
128,4194304,536870912,0.752493425,0.752484569
256,2097152,536870912,0.665475885,0.665463356
512,1048576,536870912,0.662486773,0.662465596
1024,524288,536870912,0.635667963,0.635628754
2048,262144,536870912,0.619937071,0.619858191
4096,131072,536870912,0.627243471,0.627084848
8192,65536,536870912,0.615341985,0.615031623
16384,32768,536870912,0.619461909,0.618828305
32768,16384,536870912,0.626461112,0.625155407
65536,8192,536870912,0.625395750,0.622827835
131072,4096,536870912,0.636299418,0.631166899
262144,2048,536870912,0.647218195,0.636920684
524288,1024,536870912,0.701748901,0.680880337
1048576,512,536870912,0.810537515,0.768621442
2097152,256,536870912,1.005701076,0.921290961
4194304,128,536870912,1.187134695,1.017554080
8388608,64,536870912,1.411945694,1.065993128
16777216,32,536870912,1.743947128,1.057044744
33554432,16,536870912,2.415530175,1.054022663
67108864,8,536870912,3.800397208,1.073238837
134217728,4,536870912,6.489201495,1.040549457
268435456,2,536870912,11.948152392,1.052467596
536870912,1,536870912,84.686195086,61.272614414
